"","fit","lower","upper"
"2021-05-04",644.049587651854,553.90386845707,748.866175117961
"2021-05-05",687.234434037528,576.220894950093,819.635614511673
"2021-05-06",685.289546651067,558.231135448616,841.267591374752
"2021-05-07",636.39038809808,502.168910597742,806.487055484089
"2021-05-08",386.945997674018,295.038623654167,507.48340424546
"2021-05-09",300.133399903541,220.649067346763,408.250344408152
"2021-05-10",899.550350652891,636.411579349893,1271.48980253679
"2021-05-11",987.999636871507,665.661692392838,1466.42550354562
"2021-05-12",1055.07363208843,680.354142136697,1636.17783766577
"2021-05-13",1052.96654590411,648.78049551812,1708.95789015316
"2021-05-14",978.644773638924,575.275311104371,1664.84737739235
"2021-05-15",595.506607209216,333.497400637716,1063.36096938624
"2021-05-16",462.119125476631,246.233281569846,867.283596960595
"2021-05-17",1385.55174077634,701.572533339437,2736.3580173676
