"","delta","std.err"
"2021-02-01",0,0
"2021-02-02",-2.35885541360619,0.0812790026997044
"2021-02-03",-5.18490080150474,0.126265114318831
"2021-02-04",-6.96256580648317,0.139701800972923
"2021-02-05",-7.9682698776468,0.1386806821686
"2021-02-06",-8.79160482445376,0.133743719346611
"2021-02-07",-9.41204764953129,0.128619139852367
"2021-02-08",-9.52822874352031,0.124546699925383
"2021-02-09",-6.55006179762036,0.163438382130464
"2021-02-10",-6.54250838232114,0.139787868948821
"2021-02-11",-6.52970079745985,0.132242316002244
"2021-02-12",-6.57547943769366,0.129258136717488
"2021-02-13",-6.63619691722581,0.128050709339206
"2021-02-14",-6.71207910545182,0.127583025409389
"2021-02-15",-6.75061996712001,0.127412675661191
"2021-02-16",-6.79795777103215,0.121373201826929
"2021-02-17",-6.83019025141827,0.119510780239902
"2021-02-18",-6.88984847760663,0.119101148893217
"2021-02-19",-6.91582460281511,0.119078564667439
"2021-02-20",-6.93935537532527,0.119053246570408
"2021-02-21",-6.98105562149587,0.118946527720674
"2021-02-22",-7.01126801643403,0.118795698912841
"2021-02-23",-7.062950179575,0.117945885125101
"2021-02-24",-7.05154792957622,0.117815394546048
"2021-02-25",-7.11544979107316,0.117815033123157
"2021-02-26",-7.16000295889284,0.11775019396251
"2021-02-27",-7.19257302874578,0.117609647914645
"2021-02-28",-7.24808791606335,0.117443195291976
"2021-03-01",-7.27117459344217,0.117298258848172
"2021-03-02",-7.26914243959969,0.11691018882234
"2021-03-03",-7.30746707828846,0.116853869986406
"2021-03-04",-7.33221626116776,0.116853324234981
"2021-03-05",-7.28570871757566,0.11682033797127
"2021-03-06",-7.2898960389317,0.116753615679343
"2021-03-07",-7.25999371070804,0.116678611884318
"2021-03-08",-7.2699493808904,0.116617250727892
"2021-03-09",-7.24918911979344,0.116324183140866
"2021-03-10",-7.27164773999899,0.116273254167527
"2021-03-11",-7.28507940165339,0.116273145139225
"2021-03-12",-7.2938614309934,0.116258346835593
"2021-03-13",-7.28036670470635,0.116223254596493
"2021-03-14",-7.35263787509804,0.116181985094135
"2021-03-15",-7.34364063552201,0.116147821709055
"2021-03-16",-7.34390386026129,0.11593421971107
"2021-03-17",-7.32877887723209,0.115896731527177
"2021-03-18",-7.32050827478659,0.115896625731388
"2021-03-19",-7.30883731826705,0.115886193611796
"2021-03-20",-7.29074965985118,0.115861246819191
"2021-03-21",-7.28772386680529,0.115831897579425
"2021-03-22",-7.54137736734044,0.115807658233737
"2021-03-23",-7.46743101051626,0.115651868301526
"2021-03-24",-7.3937113908621,0.11562529884759
"2021-03-25",-7.37971594743276,0.11562527310285
"2021-03-26",-7.3774129670141,0.115616935619707
"2021-03-27",-7.37856645339187,0.115597718404312
"2021-03-28",-7.34110267716931,0.115575439474333
"2021-03-29",-7.29025791369163,0.115557234913055
"2021-03-30",-7.30399638512501,0.115438511909052
"2021-03-31",-7.31139462275017,0.115418592905118
"2021-04-01",-7.34357814283997,0.115418585903752
"2021-04-02",-7.61129731362427,0.115411929599982
"2021-04-03",-7.59185903306706,0.11539689693912
"2021-04-04",-7.64378544954877,0.115379633902388
"2021-04-05",-7.8604837357664,0.115365643434682
"2021-04-06",-7.71601804080002,0.115271755321349
"2021-04-07",-7.5806331712727,0.115256135537423
"2021-04-08",-7.49734433675364,0.115256133095275
"2021-04-09",-7.39010092907164,0.115250755383177
"2021-04-10",-7.34501051765341,0.11523873961104
"2021-04-11",-7.27073565666841,0.115225020121826
"2021-04-12",-7.17533091829121,0.115213963710064
"2021-04-13",-7.17709885690781,0.115137822094331
"2021-04-14",-7.18292908032003,0.1151252418881
"2021-04-15",-7.16186146765106,0.115125241194166
"2021-04-16",-7.1442194303041,0.115120805001032
"2021-04-17",-7.1918851522512,0.115110976568469
"2021-04-18",-7.22976288758152,0.115099805390675
"2021-04-19",-7.16959594146865,0.115090842301325
"2021-04-20",-7.20100367306259,0.115027880270969
"2021-04-21",-7.23470654930894,0.115017542342393
"2021-04-22",-7.25151368971372,0.115017542259001
"2021-04-23",-7.24163989384484,0.11501381740943
"2021-04-24",-7.21981045008251,0.115005625760469
"2021-04-25",-7.23670589670048,0.114996351104592
"2021-04-26",-7.19773455208127,0.114988937285652
"2021-04-27",-7.48038385218802,0.114936018207267
"2021-04-28",-7.35368733051558,0.114927375878283
"2021-04-29",-7.23487787663408,0.114927375867843
"2021-04-30",-7.12451726155961,0.114924204415881
"2021-05-01",-7.09229885064637,0.114917273166754
"2021-05-02",-6.98632892283772,0.114909451323868
"2021-05-03",-6.85440884472102,0.114903218504117
"2021-05-04",-6.79469533279414,0.13873347371369
"2021-05-05",-6.73498182086725,0.166528652160682
"2021-05-06",-6.67526830894037,0.197661538182854
"2021-05-07",-6.61555479701349,0.231678095763476
"2021-05-08",-6.5558412850866,0.268251093937447
"2021-05-09",-6.49612777315972,0.307139544786729
"2021-05-10",-6.43641426123284,0.348160566470308
"2021-05-11",-6.37670074930595,0.391171034059098
"2021-05-12",-6.31698723737907,0.436055709475822
"2021-05-13",-6.25727372545219,0.48271946299333
"2021-05-14",-6.1975602135253,0.531082065893804
"2021-05-15",-6.13784670159842,0.581074618547133
"2021-05-16",-6.07813318967153,0.632637038939718
"2021-05-17",-6.01841967774465,0.685716254101529
