"","gamma","std.err"
"2021-02-01",0,0
"2021-02-02",-1.1794277068031,0.0431046772913176
"2021-02-03",-1.88512099870115,0.0519283856088575
"2021-02-04",-1.84879784589347,0.0457721780102006
"2021-02-05",-1.61574753417953,0.0391913016737808
"2021-02-06",-1.43002583401408,0.0350649103454747
"2021-02-07",-1.26462715476898,0.0329791866900103
"2021-02-08",-1.05581878008172,0.0322056908348822
"2021-02-09",-0.0473223485862986,0.0476985927228292
"2021-02-10",-0.0358988007607483,0.0390539295456533
"2021-02-11",-0.0267872064541495,0.0364281414938172
"2021-02-12",-0.0301477499634216,0.0354597788461545
"2021-02-13",-0.0354194396602769,0.0350934797152161
"2021-02-14",-0.0423227822195597,0.0349594960030675
"2021-02-15",-0.0416801462445296,0.0349129984779568
"2021-02-16",-0.0426495151296713,0.0342070491525208
"2021-02-17",-0.0408347705774443,0.0340969204926932
"2021-02-18",-0.0441706654869522,0.0340957991367935
"2021-02-19",-0.0409126856571105,0.0340773745316798
"2021-02-20",-0.0377871250496754,0.0340310420505425
"2021-02-21",-0.0384912649409294,0.0339767382045354
"2021-02-22",-0.0370023697952131,0.033931813304204
"2021-02-23",-0.0396247194049237,0.0338615828744694
"2021-02-24",-0.0304455731243975,0.0338607141597674
"2021-02-25",-0.036489567900616,0.0338499515301955
"2021-02-26",-0.037948551759188,0.0338228949520213
"2021-02-27",-0.0369752324085741,0.0337921493349084
"2021-02-28",-0.0403298859321086,0.0337681988156303
"2021-03-01",-0.0372094030101336,0.0337543938911411
"2021-03-02",-0.0300809608401124,0.0336953443447541
"2021-03-03",-0.0315794942538747,0.0336906908103822
"2021-03-04",-0.0303368800396844,0.0336896357115141
"2021-03-05",-0.0163527905776116,0.0336832035081952
"2021-03-06",-0.0141388945638526,0.0336748153271165
"2021-03-07",-0.00612381025563887,0.0336683874985207
"2021-03-08",-0.00682131756935174,0.0336651729024346
"2021-03-09",-0.00178363310025261,0.0336161553275481
"2021-03-10",-0.00556039866776277,0.033610732645716
"2021-03-11",-0.00699893653341005,0.0336105644976177
"2021-03-12",-0.00732487518707239,0.0336074840608151
"2021-03-13",-0.00351911685761637,0.0336029029407297
"2021-03-14",-0.0160870179592086,0.0335992206158436
"2021-03-15",-0.0115011029651324,0.0335973410636861
"2021-03-16",-0.0094424195430089,0.0335632222684202
"2021-03-17",-0.00494068821429223,0.033559695524966
"2021-03-18",-0.0025188444487856,0.0335595010887561
"2021-03-19",0.0000828261450729118,0.0335570319990136
"2021-03-20",0.00338403615737399,0.0335534806659527
"2021-03-21",0.00331835110460768,0.0335506485220211
"2021-03-22",-0.0438017260745581,0.0335491945575064
"2021-03-23",-0.0221807870940987,0.0335247055377034
"2021-03-24",-0.0045672888755222,0.0335223341635094
"2021-03-25",-0.0011568713357682,0.0335221345298503
"2021-03-26",-0.000521130958043884,0.0335201611419338
"2021-03-27",-0.000637326451987123,0.0335174147174367
"2021-03-28",0.00636382414277238,0.0335152614769886
"2021-03-29",0.0145377469332991,0.0335141737680181
"2021-03-30",0.00933617341005313,0.0334954669961285
"2021-03-31",0.00625720833175477,0.033493693210754
"2021-04-01",-0.000817252235425134,0.0334935257277469
"2021-04-02",-0.0499415151019918,0.0334919782783013
"2021-04-03",-0.0371717945035682,0.033489851927878
"2021-04-04",-0.0398874818172531,0.0334882016756481
"2021-04-05",-0.0724321805750763,0.0334873799574558
"2021-04-06",-0.0324757244607711,0.0334725547916081
"2021-04-07",-0.00154821193036564,0.0334711645251224
"2021-04-08",0.0140856721804158,0.0334710256400398
"2021-04-09",0.0312542278316725,0.0334697847922646
"2021-04-10",0.0338041926949882,0.0334680921438323
"2021-04-11",0.0412628564440967,0.0334667869366545
"2021-04-12",0.051241466058522,0.03346614327414
"2021-04-13",0.0414650544230119,0.0334541167707265
"2021-04-14",0.0327414141420162,0.0334530017615224
"2021-04-15",0.0305878306328023,0.0334528837020209
"2021-04-16",0.0281994408378381,0.0334518634770949
"2021-04-17",0.0142028801658901,0.0334504809440369
"2021-04-18",0.00459434046491117,0.0334494204627756
"2021-04-19",0.0148474423997536,0.0334489013458919
"2021-04-20",0.00630872048719354,0.0334389564218322
"2021-04-21",-0.00107819984795781,0.0334380440075117
"2021-04-22",-0.00398245487359448,0.0334379422188494
"2021-04-23",-0.00142384882804309,0.0334370880693418
"2021-04-24",0.002869973582665,0.0334359372635258
"2021-04-25",-0.000779814778926952,0.0334350584993443
"2021-04-26",0.00656063285146128,0.0334346310240878
"2021-04-27",-0.0468693389077773,0.0334262715040219
"2021-04-28",-0.014801152851096,0.0334255112791067
"2021-04-29",0.0098876350902627,0.0334254227532558
"2021-04-30",0.0284540020164565,0.0334246974552059
"2021-05-01",0.0291496283694118,0.0334237249535483
"2021-05-02",0.04334533353599,0.0334229851689285
"2021-05-03",0.0597135119268837,0.0334226272254296
"2021-05-04",0.0597135119268837,0.0363801614217697
"2021-05-05",0.0597135119268837,0.0391147066906811
"2021-05-06",0.0597135119268837,0.0416701861517561
"2021-05-07",0.0597135119268837,0.0440777557090422
"2021-05-08",0.0597135119268837,0.0463604646522227
"2021-05-09",0.0597135119268837,0.0485359332576802
"2021-05-10",0.0597135119268837,0.0506179903948979
"2021-05-11",0.0597135119268837,0.0526177259679851
"2021-05-12",0.0597135119268837,0.0545441951124587
"2021-05-13",0.0597135119268837,0.0564049054151317
"2021-05-14",0.0597135119268837,0.0582061636711607
"2021-05-15",0.0597135119268837,0.0599533287127407
"2021-05-16",0.0597135119268837,0.061650999652576
"2021-05-17",0.0597135119268837,0.0633031586304027
